title,genres_list,vote_average,vote_count,director,overview,tags,genres_str
Superman Returns,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",5.4,1400,Bryan Singer,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.","adventure fantasy action sciencefiction savingtheworld dccomics invulnerability sequel superhero brandonrouth kevinspacey katebosworth bryansinger bryansinger bryansinger superman returns to discover his 5-year absence has allowed lex luthor to walk free, and that those he was closest too felt abandoned and have moved on. luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the man of steel.","Adventure, Fantasy, Action"
Quantum of Solace,"['Adventure', 'Action', 'Thriller', 'Crime']",6.1,2965,Marc Forster,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.","adventure action thriller crime killing undercover secretagent britishsecretservice danielcraig olgakurylenko mathieuamalric marcforster marcforster marcforster quantum of solace continues the adventures of james bond after casino royale. betrayed by vesper, the woman he loved, 007 fights the urge to make his latest mission personal. pursuing his determination to uncover the truth, bond and m interrogate mr. white, who reveals that the organization that blackmailed vesper is far more complex and dangerous than anyone had imagined.","Adventure, Action, Thriller"
Pirates of the Caribbean: Dead Man's Chest,"['Adventure', 'Fantasy', 'Action']",7.0,5246,Gore Verbinski,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.","adventure fantasy action witch fortuneteller bondage exoticisland monster johnnydepp orlandobloom keiraknightley goreverbinski goreverbinski goreverbinski captain jack sparrow works his way out of a blood debt with the ghostly davey jones, he also attempts to avoid eternal damnation.","Adventure, Fantasy, Action"
The Lone Ranger,"['Action', 'Adventure', 'Western']",5.9,2311,Gore Verbinski,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.","action adventure western texas horse survivor texasranger partner johnnydepp armiehammer williamfichtner goreverbinski goreverbinski goreverbinski the texas rangers chase down a gang of outlaws led by butch cavendish, but the gang ambushes the rangers, seemingly killing them all. one survivor is found, however, by an american indian named tonto, who nurses him back to health. the ranger, donning a mask and riding a white stallion named silver, teams up with tonto to bring the unscrupulous gang and others of that ilk to justice.","Action, Adventure, Western"
Man of Steel,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",6.5,6359,Zack Snyder,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.","action adventure fantasy sciencefiction savingtheworld dccomics superhero basedoncomicbook superhuman henrycavill amyadams michaelshannon zacksnyder zacksnyder zacksnyder a young boy learns that he has extraordinary powers and is not of this earth. as a young man, he journeys to discover where he came from and what he was sent here to do. but the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.","Action, Adventure, Fantasy"
The Chronicles of Narnia: Prince Caspian,"['Adventure', 'Family', 'Fantasy']",6.3,1630,Andrew Adamson,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.","adventure family fantasy basedonnovel fictionalplace brothersisterrelationship lion humanbeing benbarnes williammoseley annapopplewell andrewadamson andrewadamson andrewadamson one year after their incredible adventures in the lion, the witch and the wardrobe, peter, edmund, lucy and susan pevensie return to narnia to aid a young prince whose life has been threatened by the evil king miraz. now, with the help of a colorful cast of new characters, including trufflehunter the badger and nikabrik the dwarf, the pevensie clan embarks on an incredible quest to ensure that narnia is returned to its rightful heir.","Adventure, Family, Fantasy"
The Avengers,"['Science Fiction', 'Action', 'Adventure']",7.4,11776,Joss Whedon,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","sciencefiction action adventure newyork shield marvelcomic superhero basedoncomicbook robertdowneyjr. chrisevans markruffalo josswhedon josswhedon josswhedon when an unexpected enemy emerges and threatens global safety and security, nick fury, director of the international peacekeeping agency known as s.h.i.e.l.d., finds himself in need of a team to pull the world back from the brink of disaster. spanning the globe, a daring recruitment effort begins!","Science Fiction, Action, Adventure"
Pirates of the Caribbean: On Stranger Tides,"['Adventure', 'Action', 'Fantasy']",6.4,4948,Rob Marshall,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.","adventure action fantasy sea captain mutiny sword primeminister johnnydepp penélopecruz ianmcshane robmarshall robmarshall robmarshall captain jack sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled fountain of youth. when she forces him aboard the queen anne's revenge, the ship of the formidable pirate blackbeard, jack finds himself on an unexpected adventure in which he doesn't know who to fear more: blackbeard or the woman from his past.","Adventure, Action, Fantasy"
Men in Black 3,"['Action', 'Comedy', 'Science Fiction']",6.2,4160,Barry Sonnenfeld,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.","action comedy sciencefiction timetravel timemachine alien fictionalgovernmentagency seeingthefuture willsmith tommyleejones joshbrolin barrysonnenfeld barrysonnenfeld barrysonnenfeld agents j (will smith) and k (tommy lee jones) are back...in time. j has seen some inexplicable things in his 15 years with the men in black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. but when k's life and the fate of the planet are put at stake, agent j will have to travel back in time to put things right. j discovers that there are secrets to the universe that k never told him - secrets that will reveal themselves as he teams up with the young agent k (josh brolin) to save his partner, the agency, and the future of humankind.","Action, Comedy, Science Fiction"
The Hobbit: The Battle of the Five Armies,"['Action', 'Adventure', 'Fantasy']",7.1,4760,Peter Jackson,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.","action adventure fantasy corruption elves dwarves orcs middle-earth(tolkien) martinfreeman ianmckellen richardarmitage peterjackson peterjackson peterjackson immediately after the events of the desolation of smaug, bilbo and the dwarves try to defend erebor's mountain of treasure from others who claim it: the men of the ruined laketown and the elves of mirkwood. meanwhile an army of orcs led by azog the defiler is marching on erebor, fueled by the rise of the dark lord sauron. dwarves, elves and men must unite, and the hope for middle-earth falls into bilbo's hands.","Action, Adventure, Fantasy"
The Amazing Spider-Man,"['Action', 'Adventure', 'Fantasy']",6.5,6586,Marc Webb,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.","action adventure fantasy lossoffather vigilante serum marvelcomic scientificexperiment andrewgarfield emmastone rhysifans marcwebb marcwebb marcwebb peter parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his uncle ben and aunt may. like most teenagers, peter is trying to figure out who he is and how he got to be the person he is today. as peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to oscorp and the lab of dr. curt connors, his father's former partner. as spider-man is set on a collision course with connors' alter ego, the lizard, peter will make life-altering choices to use his powers and shape his destiny to become a hero.","Action, Adventure, Fantasy"
Robin Hood,"['Action', 'Adventure']",6.2,1398,Ridley Scott,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.","action adventure robinhood archer knight sherwoodforest bowandarrow russellcrowe cateblanchett maxvonsydow ridleyscott ridleyscott ridleyscott when soldier robin happens upon the dying robert of loxley, he promises to return the man's sword to his family in nottingham. there, he assumes robert's identity; romances his widow, marion; and draws the ire of the town's sheriff and king john's henchman, godfrey.","Action, Adventure"
The Hobbit: The Desolation of Smaug,"['Adventure', 'Fantasy']",7.6,4524,Peter Jackson,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.","adventure fantasy elves dwarves orcs hobbit dragon martinfreeman ianmckellen richardarmitage peterjackson peterjackson peterjackson the dwarves, bilbo and gandalf have successfully escaped the misty mountains, and bilbo has gained the one ring. they all continue their journey to get their gold back from the dragon, smaug.","Adventure, Fantasy"
The Golden Compass,"['Adventure', 'Fantasy']",5.8,1303,Chris Weitz,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.","adventure fantasy england compass experiment lordship uncle dakotabluerichards nicolekidman danielcraig chrisweitz chrisweitz chrisweitz after overhearing a shocking secret, precocious orphan lyra belacqua trades her carefree existence roaming the halls of jordan college for an otherworldly adventure in the far north, unaware that it's part of her destiny.","Adventure, Fantasy"
King Kong,"['Adventure', 'Drama', 'Action']",6.6,2337,Peter Jackson,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.","adventure drama action filmbusiness screenplay showbusiness filmmaking filmproducer naomiwatts jackblack adrienbrody peterjackson peterjackson peterjackson in 1933 new york, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious skull island, where they encounter kong, a giant ape who is immediately smitten with the leading lady.","Adventure, Drama, Action"
Titanic,"['Drama', 'Romance', 'Thriller']",7.5,7562,James Cameron,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.","drama romance thriller shipwreck iceberg ship panic titanic katewinslet leonardodicaprio francesfisher jamescameron jamescameron jamescameron 84 years later, a 101-year-old woman named rose dewitt bukater tells the story to her granddaughter lizzy calvert, brock lovett, lewis bodine, bobby buell and anatoly mikailavich on the keldysh about her life set in april 10th 1912, on a ship called titanic when young rose boards the departing ship with the upper-class passengers and her mother, ruth dewitt bukater, and her fiancé, caledon hockley. meanwhile, a drifter and artist named jack dawson and his best friend fabrizio de rossi win third-class tickets to the ship in a game. and she explains the whole story from departure until the death of titanic on its first and last voyage april 15th, 1912 at 2:20 in the morning.","Drama, Romance, Thriller"
Captain America: Civil War,"['Adventure', 'Action', 'Science Fiction']",7.1,7241,Anthony Russo,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.","adventure action sciencefiction civilwar war marvelcomic sequel superhero chrisevans robertdowneyjr. scarlettjohansson anthonyrusso anthonyrusso anthonyrusso following the events of age of ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. this polarizes opinion amongst the avengers, causing two factions to side with iron man or captain america, which causes an epic battle between former allies.","Adventure, Action, Science Fiction"
Battleship,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",5.5,2114,Peter Berg,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.","thriller action adventure sciencefiction fight u.s.navy mindreading hongkong soccer taylorkitsch alexanderskarsgård rihanna peterberg peterberg peterberg when mankind beams a radio signal into space, a reply comes from ‘planet g’, in the form of several alien crafts that splash down in the waters off hawaii. lieutenant alex hopper is a weapons officer assigned to the uss john paul jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. while taking on the invaders, hopper must also try to live up to the potential his brother, and his fiancée's father, admiral shane, expect of him.","Thriller, Action, Adventure"
Jurassic World,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",6.5,8662,Colin Trevorrow,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.","action adventure sciencefiction thriller monster dna tyrannosaurusrex velociraptor island chrispratt brycedallashoward irrfankhan colintrevorrow colintrevorrow colintrevorrow twenty-two years after the events of jurassic park, isla nublar now features a fully functioning dinosaur theme park, jurassic world, as originally envisioned by john hammond.","Action, Adventure, Science Fiction"
Skyfall,"['Action', 'Adventure', 'Thriller']",6.9,7604,Sam Mendes,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.","action adventure thriller spy secretagent sociopath killer artgallery danielcraig judidench javierbardem sammendes sammendes sammendes when bond's latest assignment goes gravely wrong and agents around the world are exposed, mi6 is attacked forcing m to relocate the agency. these events cause her authority and position to be challenged by gareth mallory, the new chairman of the intelligence and security committee. with mi6 now compromised from both inside and out, m is left with one ally she can trust: bond. 007 takes to the shadows - aided only by field agent, eve - following a trail to the mysterious silva, whose lethal and hidden motives have yet to reveal themselves.","Action, Adventure, Thriller"
Spider-Man 2,"['Action', 'Adventure', 'Fantasy']",6.7,4321,Sam Raimi,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.","action adventure fantasy dualidentity loveofone'slife pizzaboy marvelcomic sequel tobeymaguire kirstendunst jamesfranco samraimi samraimi samraimi peter parker is going through a major identity crisis. burned out from being spider-man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil doc ock. in the meantime, parker still can't act on his feelings for mary jane watson, a girl he's loved since childhood.","Action, Adventure, Fantasy"
Iron Man 3,"['Action', 'Adventure', 'Science Fiction']",6.8,8806,Shane Black,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","action adventure sciencefiction terrorist waronterror tennessee malibu marvelcomic robertdowneyjr. gwynethpaltrow doncheadle shaneblack shaneblack shaneblack when tony stark's world is torn apart by a formidable terrorist called the mandarin, he starts an odyssey of rebuilding and retribution.","Action, Adventure, Science Fiction"
Alice in Wonderland,"['Family', 'Fantasy', 'Adventure']",6.4,4645,Tim Burton,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.","family fantasy adventure basedonnovel fictionalplace queen fantasy aliceinwonderland miawasikowska johnnydepp annehathaway timburton timburton timburton alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an english nobleman. at her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. arriving in a strange and surreal place called 'underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. alice realizes that she is there for a reason – to conquer the horrific jabberwocky and restore the rightful queen to her throne.","Family, Fantasy, Adventure"
X-Men: The Last Stand,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",6.3,3525,Brett Ratner,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.","adventure action sciencefiction thriller mutant marvelcomic basedoncomicbook superhuman beast hughjackman halleberry ianmckellen brettratner brettratner brettratner when a cure is found to treat mutations, lines are drawn amongst the x-men and the brotherhood, a band of powerful mutants organized under xavier's former ally, magneto.","Adventure, Action, Science Fiction"
Monsters University,"['Animation', 'Family']",7.0,3528,Dan Scanlon,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,animation family monster dormitory games animation bestfriend billycrystal johngoodman stevebuscemi danscanlon danscanlon danscanlon a look at the relationship between mike and sulley during their days at monsters university — when they weren't necessarily the best of friends.,"Animation, Family"
Transformers: Revenge of the Fallen,"['Science Fiction', 'Action', 'Adventure']",6.0,3138,Michael Bay,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.","sciencefiction action adventure egypt sun chaos symbol artifact shialabeouf meganfox joshduhamel michaelbay michaelbay michaelbay sam witwicky leaves the autobots behind for a normal life. but when his mind is filled with cryptic symbols, the decepticons target him and he is dragged back into the transformers' war.","Science Fiction, Action, Adventure"
Transformers: Age of Extinction,"['Science Fiction', 'Action', 'Adventure']",5.8,3095,Michael Bay,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.","sciencefiction action adventure sequel alien transformers giantrobot robot markwahlberg stanleytucci kelseygrammer michaelbay michaelbay michaelbay as humanity picks up the pieces, following the conclusion of ""transformers: dark of the moon,"" autobots and decepticons have all but vanished from the face of the planet. however, a group of powerful, ingenious businessman and scientists attempt to learn from past transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful transformer menace sets earth in his cross-hairs.","Science Fiction, Action, Adventure"
Oz: The Great and Powerful,"['Fantasy', 'Adventure', 'Family']",5.7,3530,Sam Raimi,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.","fantasy adventure family circus witch magic hope illusion jamesfranco milakunis rachelweisz samraimi samraimi samraimi oscar diggs, a small-time circus illusionist and con-artist, is whisked from kansas to the land of oz where the inhabitants assume he's the great wizard of prophecy, there to save oz from the clutches of evil.","Fantasy, Adventure, Family"
The Amazing Spider-Man 2,"['Action', 'Adventure', 'Fantasy']",6.5,4179,Marc Webb,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.","action adventure fantasy obsession marvelcomic sequel basedoncomicbook electrocution andrewgarfield emmastone jamiefoxx marcwebb marcwebb marcwebb for peter parker, life is busy. between taking out the bad guys as spider-man and spending time with the person he loves, gwen stacy, high school graduation cannot come quickly enough. peter has not forgotten about the promise he made to gwen’s father to protect her by staying away, but that is a promise he cannot keep. things will change for peter when a new villain, electro, emerges, an old friend, harry osborn, returns, and peter uncovers new clues about his past.","Action, Adventure, Fantasy"
